original_comment,comment,sentiment
"nyatanya bank2 himbara masih selektif mengucurkan dana untuk UMKM yg sangat membutuhkan tambahan modal, seperti yg saya alami. punya usaha percetakan sdh berjalan sejak 2002 sampai sekarang membutuhkan modal 25 juta saja mengajukan kur mikro g di acc padahal memakai jaminan, malah disuruh ambil yg bunganya 2% perbulan 1tahun 24 %  g masuk akal, sangat memberatkan kita yg umkm...",nyata bank himbara selektif kucur dana umkm sangat butuh tambah modal alami punya usaha cetak jalan sejak sekarang butuh modal juta aju kur mikro salur ac padahal pakai jamin malah suruh ambil bunga bulan tahun masuk akal sangat berat umkm,Negatif
Good job for Ser Purbaya,good job for sir purbaya,Positif
"Kami sebagai rakyat kelas bawah saja bisa berfikir, kakau ekonomi masyarakat bawah jalan, bisa dipastikan ekonomi nasional meningkat, daya beli meningkat",rakyat kelas bawah pikir kalau ekonomi masyarakat bawah jalan pasti ekonomi nasional tingkat daya beli tingkat,Positif
"Doakan bangsa ini kedepan menjadi lebih baik, Krn kebijakan yang mengangkat ekonomi kerakyatan. Doaku untukmu pak Purbaya Yudhi Sadewa, hidup Indonesia 🇮🇩⭐",doa bangsa ke depan jadi lebih baik bijak angkat ekonomi rakyat doa untuk pak purbaya yudhi sadewa hidup indonesia,Positif
"Mantap pak Purbaya, harusnya diperbanyak orang2 seperti ini di pemerintahan bahkan di dpr. Salut buat pak Purbaya, coba bikin lagu buat pak Purbaya....heeheee😅",mantap pak purbaya harus banyak orang salur perintah bahkan salur dpr salut buat pak purbaya coba bikin lagu buat pak purbaya heehe,Positif
Kasih pencerahan yg valid soal program   penghapusan hutang UMKM ya bang Bennix,beri cerah valid soal program hapus utang umkm nya bang bennix,Netral
"Jujur gw sebel banget sama bank BSI dia punya program kredit KPR dengan penuh harapan gw datengin ternyata cuma buat PNS, Aparat, sama Pegawe BUMN. Karena gw pegawe swasta jadi ga bisa ambil program kpr itu. Pantes aja mereka diguyur 200T bingung mau kemana target mereka cuma PNS doang.",jujur gue sebel banget saling bank bsi punya program kredit kpr penuh harap gue datengin nyata cuma buat pns aparat saling pegawai bumn gue pegawai swasta jadi tidak ambil program kpr pantas guyur bingung mau target cuma pns doang,Negatif
Belum sampai di bank2 yogyakarta,belum salur bank yogyakarta,Netral
Bravo pak Mentri Purbaya  kami rakyat  mendukung gebrakan bapak  joooossss,bravo pak menteri purbaya rakyat dukung gebrak bapak joooos,Positif
"Jng buka di rekening di BRI, duit ortu gw ilang 5 juta, wkt di cek mutasi ada yg transfer 2juta tp tp hbs itu saldo ditarik  semua, rekeningny blm pk m-bangking dan atm gw yg pegang",jangan buka salur rekening salur bri duit orang tua gue hilang juta waktu salur cek mutasi transfer juta habis saldo tarik semua rekeningny belum pakai mbangking atm gue pegang,Negatif
"Waduhhh ada benernya juga ..saham apa dink om Benn yang diuntungkan ?? Telekomunikasi dan industri  hilirisasi serta perbankan khan, tapi spesifiknya apa ? Mau ikutan BIG belum mampu nihhh, pengin banget om Benn",waduh benernya saham apa dong ben untung telekomunikasi industri hilir perban kan spesifik apa mau ikut big belum mampu pengin banget ben,Netral
SAYANG SEKALI KALAU NIAT BAIK MENKEU TIDAK SEIRAMA DENGAN HIMBARA DI DAERAH2 DIMANA JUMLAH UMKM SANGAT BANYAK DAN BANYAK YG MEMBUTUHKAN MODAL USAHA TAPI PROSEDURNYA TETAP DIPERKETAT DENGAN ALASAN PRINSIP KE HATI2AN YG SEHARUSNYA SEDIKIT DILONGGARKAN.. YG DIHAWATIRKAN BUKAN HIMBARA  MEMBANTU UMKM TAPI MEMBANTU PENGUSAHA NAKAL DENGAN KREDIT FIKTIF BERNILAI FANTASTIS SEPERTI KASUS SRITEX,sayang sekali kalau niat baik menteri uang tidak irama himbara salur daerah jumlah umkm sangat banyak banyak butuh modal usaha prosedur tetap ketat alas prinsip hati sedikit longgar dihawatirkan bukan himbara bantu umkm bantu usaha nakal kredit fiktif nila fantastis kasus sritex,Negatif
bang satu lagi cara buat menggerakan ekonomi rakyat yaitu pemerintah harus berani ngasih pesangon bagi pensiunan asn buat modal usaha,bang satu cara buat gera ekonomi rakyat perintah berani asih sangon pensiun asn buat modal usaha,Netral
semoga jadi naga tidak jadi cacing karna di jaman sekarang ini meminjamkan uang harus berhati hati,moga jadi naga tidak jadi cacing salur zaman sekarang pinjam uang hati hati,Positif
Salah satunya profesor indonesia yg kerja di belanda yg protes lupa namanya muncul di ILC kemaren kemaren,salah satu profesor indonesia kerja salur belanda protes lupa nama muncul salur ilc kemarin kemarin,Netral
Keren pak Purbaya,keren pak purbaya,Positif
Textil harus jalan rakyat nga ngangur baru ekonomi rakyat jalan🙏,tekstil jalan rakyat tidak ngangur baru ekonomi rakyat jalan,Netral
Yang diuntungkan adalah saham growth karena membutuhkan kredit besar dan dapat bunga rendah,untung saham growth butuh kredit besar dapat bunga rendah,Netral
Hari ini pasar sangat sepi .... Karena dana Himbara di drop ke bank plecit dan bank pinjol pay later,hari pasar sangat sepi dana himbara salur drop bank lecit bank pinjam online pay later,Negatif
"Biar dikit bertanggung jawab tolong pantau harga sembako jg ya, Thanks",biar sedikit tanggung jawab pantau harga sembako nya thanks,Netral
"klo saya pinjem skrg, brpa bunga bank nya yaa, sama kaya dulu apa sdh beda",kalau pinjam sekarang berapa bunga bank nya nya saling dulu apa beda,Netral
"Bayankan guyz, 200 triliun bisa jadi gini. Gimana kalau 1 quadriliun kasus Pertamina itu disita, dan kasus korupsi lainnya.",bayan guys triliun jadi begini bagaimana kalau kuadriliun kasus pertamina sita kasus korupsi lain,Netral
"abang"" Sekalian mau nanya nih, efek ke umkm butuh berapa lama ya bulanan apa sampai tahunan, maaf pemula",abang sekali mau tanya efek umkm butuh berapa lama nya bulan apa tahun maaf mula,Netral
200 t buat naikin harga sahamnya bank sendiri😂,buat naikin harga saham bank sendiri,Negatif
"Ketika saham tumbuh lebih cepat dari perusahaan, investor selalu menjadi pihak yang dirugikan -Benjamin Graham",saham tumbuh lebih cepat usaha investor selalu jadi pihak rugi benjamin graham,Netral
Lari ke kami tdk ad cmn ke pengusaha besar,lari tidak cuma usaha besar,Negatif
"Efek mulai terasa, dagang semakin rame, daya beli meningkat, ekonomj tumbuh",efek mulai asa dagang makin rame daya beli tingkat ekonomi tumbuh,Positif
asuransi kredit yg diuntungkan harus cover,asuransi kredit untung cover,Netral
Menku purbaya luar biasa hebat ✨😍 mantappp lanjutkan ⏩ 😂😢😮😅😊,menteri uang purbaya luar biasa hebat mantap lanjut,Positif
katakan M0 dan M1 itu melebihi agregat demand barang dan jasa mk akan terjadi inflasi nambah laju... bgmn menyeimbangkan nya spy sehat?  jgn lantas kita tidak selektif thdp import ...tanya tuh Om Purbaya...dong???,kata lebih agregat minta barang jasa jadi inflasi tambah laju bagaimana imbang nya sehat jangan lantas tidak selektif impor tanya purbaya dong,Negatif
"200T- deposit on call Himbara- langsung ke sektor riil produktif. Bank nggak perlu takut: jaminan pendampingan pemerintah & bank. Produksi, distribusi, konsumsi lancar—UMKM naik, ekonomi bergerak! semoga terwujud",deposit on cal himbara langsung sektor riil produktif bank tidak perlu takut jamin damping perintah bank produksi distribusi konsumsi lancarumkm naik ekonomi gerak moga wujud,Positif
Pencairan dana tersebut lebih baik direkomendasikan desa untuk pencairan dari pada bank yg ribet...dan pertanggungjawaban dari desa,cair dana sebut lebih baik rekomendasi desa cair bank ribet pertanggungjawaban desa,Negatif
Seharusnya bank pemerintah atau BUMN memberikan bunga yang rendah dari bank bank swasta lainnya.pinjam bunga ringan khusus masyarakat yang menengah kebawah. Kalau perusahaan perusahaan baiknya bunganya beda. Uang dari rakyat dikelola balikan lagi KERAKYAT caranya berikan bunga kecil biar rakyat bisa mengelola kembali tuh uangnya,bank perintah bumn beri bunga rendah bank bank swasta lainnyapinjam bunga ringan khusus masyarakat tengah ke bawah kalau usaha usaha baik bunga beda uang rakyat kelola balik rakyat cara ikan bunga kecil biar rakyat kelola uang,Negatif
bang Ben...bisa nggak bunga pinjaman bank bank Himbara bisa lebih rendah lagi agar mereka lebih efisien dan masyarakat mendapat bunga rensah unruk menjalankan usahanya ?,bang ben tidak bunga pinjam bank bank himbara lebih rendah lebih efisien masyarakat dapat bunga rensah unruk jalan usaha,Negatif
Apa dengan bank bank minta tambah itu pertanda .......................,apa bank bank minta tambah tanda,Negatif
Bang beli Ozempic dimana. spill donks.,bang beli ozempic spil dong,Netral
"Om Bennix, hitungan juga himbara harus nyalurkan KUR yg bunganya 6 % aja, berarti juga berkurang dari hitungan di atas sesuai pesentase masing²",bennix hitung himbara nyalurkan kur bunga arti kurang hitung salur atas sesuai pesentase masing,Netral
Bunga deposito 4% yg harus dibayar k negara ga diitung?,bunga deposito bayar negara tidak diitung,Negatif
om bennix...saya mau nanya apakah benar pertumbuhan ekonomi Indonesia ini bisa ke 6 % - 7 %... dalam kurun waktu sampai akhri tahun ini...tq,bennix mau tanya benarbenar tumbuh ekonomi indonesia kurun waktu akhri tahun tq,Netral
Bng Gua ada info lahan kosong cocok buat buat perusahaan parkir tempat strategis pintu masuk bandara soekarnohatta,bang info lahan kosong cocok buat buat usaha parkir tempat strategis pintu masuk bandara soekarnohatta,Netral
"nah ini, emang bener kah yg paling diuntungkan bank? ☕🤔",nah memang benarbenar paling untung bank,Negatif
Soal 200T dan kaitan harga saham naik menurutku tidak relevan sebab seharusnya justru malah sebaliknya sebab beban bank malah bertambah bukan dengan cara membeli saham tapi sebagai penabung jadi ada beban bunga yg menyedot penghasilan bank,soal kait harga saham naik turut tidak relevan justru malah balik beban bank malah tambah bukan cara beli saham tabung jadi beban bunga sedot hasil bank,Negatif
Bank harus kerja harus kerja untuk bukan santai santai,bank kerja kerja bukan santai santai,Negatif
Rumah pak Pur dikirim gumpalan darah bahas donkk,rumah pak purbaya kirim gumpal darah bahas dong,Netral
Multiplier effect nya ga dihitung om ben? Karena setelah pinjam duitnya sebagian masuk lg ke bank,multiplier effect nya tidak hitung ben pinjam duit bagi masuk bank,Positif
"Kepo nih Bank tuuuuut .,. 😂",kepo bank tuuuuut,Netral
Kata kata bijak dari Pak menku..  Positif boleh kasar..  Negatif.. No.. No.. No sikat Nice Pak menku.. 😂,kata kata bijak pak menteri uang positif kasar negatif no no no sikat nice pak menteri uang,Positif
hmm sepertinya btn atau emiten yg butuh dana segar. dilihat hampir rata rata emiten properti rata rata naik atau bangkit dari kubur,hm seperti btn emiten butuh dana segar lihat hampir rata rata emiten properti rata rata naik bangkit kubur,Positif
bank apa itu yang di sensor ??,bank apa salur sensor,Netral
"Bang Bennix.... pinter banget nih... maksa kalau 24rb like dalam 24 jam akan bikin video lanjutan. Gw udah cek, 20 video terakhir like nya maksimal cuma 18rb an. Kebanyakan di beberapa ribu. Tapi oke lah, gw jadi semangat akan menghitung di 5 bank itu siapa yang paling diuntungkan. Meskipun... gw gak akan pernah beli saham patriot. Cuma kepo aja... 😂😂",bang bennix pintar banget paksa kalau ribu like jam bikin video lanjut gue cek video akhir like nya maksimal cuma ribu an banyak salur beberapa ribu oke lah gue jadi semangat hitung salur bank siapa paling untung meski gue tidak pernah beli saham patriot cuma kepo,Netral
Kalau saya karena hanya rakyat kecil ya kalau infestai ya hanya berani infes ke beli tanah atau beli emas.. karna saya hanya petani 😊tp saya suka lihat video ini.,kalau rakyat kecil nya kalau infestai nya berani infes beli tanah beli emas tani suka lihat video,Netral
Ngajuin KUR di BRI ga bisa Bisanya Simpedes pedes banget bunganya dah kaya leasing,aju kur salur bri tidak bisa simpedes pedas banget bunga deh leasing,Negatif
Seharusnya bank pemerintah atau BUMN memberikan bunga yang rendah dari bank bank swasta lainnya.pinjam bunga ringan khusus masyarakat yang menengah kebawah. Kalau perusahaan perusahaan baiknya bunganya beda,bank perintah bumn beri bunga rendah bank bank swasta lainnyapinjam bunga ringan khusus masyarakat tengah ke bawah kalau usaha usaha baik bunga beda,Negatif
Mentri ke uangan yg beda sama termul Sri mulat😅😅😅,menteri uang beda saling termul sri mulat,Netral
"om bennix dulu pernah live dan membicarakan tentang kejatuhan bank bank, dan kasih hint bank mana yang paling cepat capai titik ATHnya. apakah itu masih relevan?  waktunya analisa:D",bennix dulu pernah live bicara jatuh bank bank beri hint bank mana paling cepat capai titik athnya relevan waktu analisa,Netral
Mungkin banyak es cendol yg pesimis PD uang 200 triliun takut mereka TDK bisa korupsi lagi rasain tikus tikus yg makan uang negara semangat terus pak Purbaya kami selalu mendoakan mu agar programnya tetap lancar dan sukses mantap,mungkin banyak es cendol pesimis uang triliun takut tidak korupsi rasai tikus tikus makan uang negara semangat terus pak purbaya selalu doa kamu program tetap lancar sukses mantap,Positif
Ekonomi saya beli Langsung hilang engk ke serap 😂,ekonomi beli langsung hilang tidak serap,Negatif
Kenapa gak om ben aj sih yg jadi direktur BI...😊biar bisa kerja sama ma pak pur,tidak ben sih jadi direktur bi biar kerja saling saling pak purbaya,Netral
Yang diuntungkan emiten EBT yang dapat pinjaman dari bank himbara?,untung emiten ebt dapat pinjam bank himbara,Netral
"Apakah BANK BSI bisa mencairkan uang pake bunga bank,,,apakah bisa mencairkan uang tanpa riba(bunga)?",bank bsi cair uang pakai bunga bank cair uang tanpa riba bunga,Netral
dampak pinjol  bi  chekingggg,dampak pinjam online bi checking,Netral
"Klo di puter di slot ya jadi cacing ,, uang muter y jd naga ,,",kalau salur puter salur slot nya jadi cacing uang putar jadi naga,Netral
Kalo gk di korupsi pasti menguntungkan,kalau tidak salur korupsi untung,Negatif
Yg disensor itu bank apa sih bang?,sensor bank apa sih bang,Netral
Gw kemaren dapat tawaran kredit dr BRI tp ngeri lah.. Jualan sepi,gue kemarin dapat tawar kredit bri ngeri lah jual sepi,Negatif
Sangat mungkin di serap asal Himbara tidak ada aturan aneh2,sangat mungkin salur serap asal himbara tidak atur aneh,Negatif
"Closing statement nya bikin penasaran, emiten yg akan diuntungkan dari hibahan dana 200T ini ke bank himbara.... apakah perusahaan jasa distribusi?",closing statement nya bikin penasaran emiten untung hibah dana bank himbara usaha jasa distribusi,Netral
"Di bawah para mantri bang  tetap mempersulit usaha kecil .pinjaman lunas ,ingin mengajukan kur tetap tidak di ACC ,",salur bawah mantri bang tetap sulit usaha kecil pinjam lunas aju kur tetap tidak salur ac,Negatif
"Predaran uang banyak,, inflasi juga berpotensi naik,, inflasi naik apa artinya, artinya harga barang semakin mahal",predaran uang banyak inflasi potensi naik inflasi naik apa arti arti harga barang makin mahal,Negatif
Coba bahas kenapa saham bank 2 tambah nyungsep? 😊,coba bahas saham bank tambah nyungsep,Negatif
Ingat guys! Menjelang akhir tahun banyak tukang pompom saham. Karena bandar yang udh nampung banyak kemarin mau buang sebelum mau closing.,ingat guys jelang akhir tahun banyak tukang pompom saham bandar nampung banyak kemarin mau buang mau closing,Netral
Pak Purbaya kan sdh menjelaskan bhw penempatan uang pemerintah sebesar 200T di bank² Himbara adalah untuk menambah likuiditas uang di masyarakat karena uang itu akan disalurkan ke masyarakat sbg kredit usaha dan sebagian mungkin kredit konsumsi. Jadi tujuannya bukan untuk menaikkan harga saham bank² Himbara. Group saham yg mempompom bhw saham bank² Himbara akan naik 200% akibat penempatan uang pemerintah sebesar 200T dalam jangka pendek memang keliru.,pak purbaya kan jelas tempat uang perintah besar salur bank himbara tambah likuiditas uang salur masyarakat uang salur masyarakat kredit usaha bagi mungkin kredit konsumsi jadi tuju bukan naik harga saham bank himbara grup saham pompa saham bank himbara naik akibat tempat uang perintah besar jangka pendek memang keliru,Positif
Bunga nya yg pak purbaya dapat lumayan juga 200T beranak pasti,bunga nya pak purbaya dapat lumayan anak,Negatif
Apakah penyerapan seperti ini berpengaruh kepada rakyat yang ingin mengajukan KPR rumah juga?,serap pengaruh rakyat aju kpr rumah,Netral
Tolong Pak pinjaman yg nunggak di bank2 indonwsia ini di perhTikan.. tlong kwbijKannya di umumkan di slrh media. Agar RAKYAT PAHAM AKAN KEBIJAKAN PEMERINTAH❤ KRN RAKYt msh Buta ttg kwbijakan pemwrintah❤,pak pinjam nunggak salur bank indonwsia salur perhtikan tlong kwbijkannya salur umum salur slrh media rakyat paham bijak perintah rakyt buta kwbijakan perintah,Negatif
Bang khabarnya Bank EMAS itu bagaimana dan sudah ada bukti dan keuntungannya ya❤,bang khabarnya bank emas bagaimana bukti untung nya,Netral
Saya termasuk nasabah bri yang lolos pinjaman 200juta 😅😅,masuk nasabah bri lolos pinjam juta,Positif
Enaknya jadi bank dapet instrumen aset dari pemerintah tanpa jaminan 😁 200T,enak jadi bank dapat instrumen aset perintah tanpa jamin,Negatif
Pak Prabowo  buka lapangan pekerjaan  seluas2nya  pasti Ekonomi rakyat akan terdongkrak  ( UMKM) akan hidup  Bahlil copot  segera,pak prabowo buka lapang kerja luas ekonomi rakyat dongkrak umkm hidup bahlil copot segera,Netral
Itu proyeksi jika di setahunkan ya. Tapi kalau mau lihat proyeksi angka laporan laba akhir tahun harus di pro rate bunga berjalan 3 bulan paling optimal sejak peluncuran dana. Iya kalau dalam bentuk kredit mikro KTA atau multiguna. Kalau kredit kpr biasanya di tahun2 awal masih bunga promo. Baru cuan disaat sudah floating.,proyeksi salur tahun nya kalau mau lihat proyeksi angka lapor laba akhir tahun salur pro rate bunga jalan bulan paling optimal sejak luncur dana iya kalau bentuk kredit mikro multiguna kalau kredit kpr biasa salur tahun awal bunga promo baru cuan saat floating,Netral
muncul dan meronta2 jiwa para mapia kredit ..,muncul ronta jiwa mapia kredit,Positif
"apalgi yang nama nya udh cacat oleh BI Checking nya di buat bersih lagi, makin cepet kayanya itu duit muter😁",nama nya cacat bi checking nya salur buat bersih makin cepat kaya duit putar,Positif
"dalam pidato beliau pak purbaya kan dari Himbara ada yg tanya kalo buat sektor otomotif dll. lalu pak purbaya jawab bebas asal Jan beli dolar... dari situ sy jadi tahu kalo di masa sebelum mereka sangat terbatas dan punya seperti  ketakutan tersendiri ketika menggunakan uang negara, bahkan lebih enjoy minta ganti rugi ketimbang mencoba melangkah... pak purbaya ini bisa ngasih jalan yang terang pada Dirut tanpa ada batasan... padahal beliau cuma bikin stetmen ""asal Jan buat beli dolar"" mantap...",pidato beliau pak purbaya kan himbara tanya kalau buat sektor otomotif dulu lalu pak purbaya jawab bebas asal jangan beli dolar situ jadi tahu kalau salur masa sangat batas punya takut sendiri guna uang negara bahkan lebih enjoy minta ganti rugi ketimbang coba lang pak purbaya asih jalan terang dirut tanpa batas padahal beliau cuma bikin statemen asal jangan buat beli dolar mantap,Positif
Duh pusing dengerin duit trilyun2an ..ttp aja hidup mkn sulit,duh pusing dengar duit triliun tetap hidup makin sulit,Negatif
"Menurut saya kurang tepat menghitung cost of fund, harus dicek apakah dpknya naik atau turun setelah diinject 50t, karena suku bunga bi turun. menurut saya inject dana 200t itu untuk mempercepat efek suku bunga bi turun. Namun permeasalahanya untuk bank swasta masih makan suku bunga tinggi sehingga cost of fund mahal pindah ke bank swasta dari bank himbara",kurang tepat hitung cost of fund cek dpknya naik turun diinject suku bunga bi turun inject dana cepat efek suku bunga bi turun permeasalahanya bank swasta makan suku bunga tinggi cost of fund mahal pindah bank swasta bank himbara,Netral
Tawaran2 bank ke konsumen makin banyak.,tawar bank konsumen makin banyak,Positif
"Tak semua kredit yg di jalanin sesuai keinginan rakyat, klo kur saya sudah lebih 100 jt, sudah di stop",tak semua kredit salur jalan sesuai ingin rakyat kalau kur lebih juta salur stop,Negatif
Dampak dari  kucuran dana dari Menkeu  sangat terasa  contoh  bank Mandiri  sekarang SDH bisa bernapas  dan mau  menyalurkan bansos ke parapenerima,dampak kucur dana menteri uang sangat asa contoh bank mandiri sekarang napas mau salur bansos parapenerima,Positif
"@Bennix Menurut saya pribadi, emiten yg akan sangat diuntungkan : 1. BBTN (kredit perumahan) dana kecil tp leverage besar bisa sampai 34% growthnya 2. SMGR (10%) dan sejenisnya 3. Perusahaan BUMN anggaplah seperti WIKA dan sejenisnya 4. Astra multifinance (kredit kendaraan bermotor)  Sekian",pribadi emiten sangat untung bbtn kredit rumah dana kecil leverage besar tumbuh smgr jenis usaha bumn anggap wika jenis astra multifinance kredit kendara motor sekian,Positif
"Bagus, perlu dikasih tekanan. Enak aja gaji gede tapi gak mikir. Suruh mikir gitu. Top",bagus perlu kasih tekan enak gaji gede tidak mikir suruh mikir top,Positif
"setuju , himbara harus punya andil besar dlm membangun ekonomi bangsa ❤",tuju himbara punya andil besar bangun ekonomi bangsa,Positif
Betul itu tugas para Dirut yg gajinya luar biasa utk mikir gimana penyaluran buat nasabah yg benar2 butuh buat usaha & pembayaran tidak macet,betul tugas dirut gaji luar biasa mikir bagaimana salur buat nasabah benarbenar butuh buat usaha bayar tidak macet,Positif
Bubarkan BUMN YANG SELALU MERUGI 😢 rakyat sudah muak lihat MALING MALING BERDASI 😡,bubar bumn selalu rugi rakyat muak lihat maling maling das,Negatif
semoga selalu ada info..info yang penting .... tentang pemerintahan  untuk  rakyat,moga selalu info info penting perintah rakyat,Netral
Dirut kalo disuruh salurkan dana utk kredit usaha pusing. Tp kalo utk dikorupsi cepet banget..,dirut kalau suruh salur dana kredit usaha pusing kalau korupsi cepat banget,Negatif
Perlu diaudit skala besar semua bank pemerintah. Keliatan gk beres sedikit aja lgsg pecat ganti yg kompeten. Enak2an 10thn 🎉🎉🎉,perlu audit skala besar semua bank perintah lihat tidak beres sedikit langsung pecat ganti kompeten enak tahun,Positif
Ayo pak pur..  Bongkar semua ke bobrokan uang di negri ini,ayo pak purbaya bongkar semua bobrok uang salur negeri,Positif
"Jangan cuma pengusaha besar yang jdi target kreditur. Yg terpenting UMKM, karena dari merekalah .ekonomi kita berputar. Banyak UMKM yang sulit mendapatkan pinjaman.",jangan cuma usaha besar jadi target kreditur penting umkm mereka ekonomi putar banyak umkm sulit dapat pinjam,Positif
Wahh Dirut Bank lagi panas dingin😂,wah dirut bank panas dingin,Positif
Mantab ini terobosan agar dana terserap pasar dgn cepat menaikkan pertumbuhan ekonomi,mantap terobos dana serap pasar cepat naik tumbuh ekonomi,Positif
"mantap, pecat saja pejabat bank yang tidak berprestasi",mantap pecat jabat bank tidak prestasi,Positif
Direktur pd GAJI GEDHE.....Tp pada malas. Mantab pak Menkeu,direktur gaji besar malas mantap pak menteri uang,Positif
"Jadi pemikiran purba ini,, dia ingin bikin bunga bank turun sehingga banyak yg tersalurkan ke pengusaha yg ingin pinjam duit,, soalnya kalau bunganya tinggi pengusaha kurang pinjam ke bank,,, nah bank ini disuruh kreatif gimna caranya agar bisa tersalurkan uang semuanya nihh,, jalannya cuman 1 yaitu turunkan bunga bank begitu kira-kira cara berpikir purba ini",jadi pikir purba bikin bunga bank turun banyak salur usaha pinjam duit soal kalau bunga tinggi usaha kurang pinjam bank nah bank suruh kreatif bagaimana cara salur uang semua jalan cuma turun bunga bank kirakira cara pikir purba,Netral
"Kredit macet itu krn bunga ringan dipersulit, coba bunga gedde... gampang banget cainya😅😅😅😂😂😂 kenyataan dilapangan",kredit macet bunga ringan sulit coba bunga gede gampang banget cair nyata lapang,Negatif
Pak Purbaya bersihkan yg kotor2. Terutama Pejabat & pegawai Pajak korupsi sampai ribuan triliun.,pak purbaya sih kotor utama jabat pegawai pajak korupsi ribu triliun,Positif
